Date,tmed,tmax,tmin,Ra,Rn,W,RH,G,Rain,Dzr,AWC,MAD,Kc,Irrig
8/30/2023,19.955,26.63,13.28,30.06554323,4.270107114,1.3,77.335,0,0,0.3,136,0.35,0.75,0
8/31/2023,22.81,28.85,16.77,30.26628377,2.254460768,1.76,62.215,0,0,0.3,136,0.35,0.75,0
9/1/2023,22.34,29,15.68,30.46764258,5.296419688,1.47,56.78,0,0,0.3,136,0.35,0.75,0
9/2/2023,24.31,31.73,16.89,30.66953824,10.32405584,2.37,67.745,0,0,0.3,136,0.35,0.75,0
9/3/2023,25.64,32.06,19.22,30.87188946,7.4822622,1.9,76.96,0,19.56,0.3,136,0.35,0.75,0
9/4/2023,26.705,32.76,20.65,31.07461507,10.15669466,2.14,77.615,0,0,0.3,136,0.35,0.75,0
9/5/2023,27.46,33.88,21.04,31.27763412,8.85522428,2.33,75.505,0,3.048,0.3,136,0.35,0.75,0
9/6/2023,24.135,30.46,17.81,31.48086595,5.476170084,3.17,81.61,0,0,0.3,136,0.35,0.75,0
9/7/2023,21.585,26.37,16.8,31.68423024,9.06331076,1.88,78.365,0,0,0.3,136,0.35,0.75,0
9/8/2023,23.615,30.74,16.49,31.88764707,9.49874142,2.35,70.03,0,0,0.3,136,0.35,0.75,0
9/9/2023,24.905,32.14,17.67,32.09103702,10.34085108,2.09,65.16,0,0,0.3,136,0.35,0.75,0
9/10/2023,22.605,28.15,17.06,32.29432116,6.68048752,1.16,77.3,0,0,0.3,136,0.35,0.75,0
9/11/2023,24.095,30.52,17.67,32.49742121,6.14463556,1.62,76.405,0,0,0.3,136,0.35,0.75,0
9/12/2023,25.885,32.67,19.1,32.70025951,10.55965988,1.96,67.28,0,0,0.3,136,0.35,0.75,0
9/13/2023,25.05,32.92,17.18,32.90275917,10.68585952,2.37,57.555,0,0,0.3,136,0.35,0.75,0
9/14/2023,26.83,35.48,18.18,33.10484404,10.61342072,1.92,64.085,0,0,0.3,136,0.35,0.75,0
9/15/2023,19.65,24.99,14.31,33.30643886,2.43719539,1.55,84.315,0,9.91,0.3,136,0.35,0.75,0
9/16/2023,19.425,26.43,12.42,33.50746926,10.84405966,1.81,73.11,0,0.25,0.35,136,0.2,1.1,0
9/17/2023,23.675,32.14,15.21,33.70786183,10.985212,1.39,72.8,0,0,0.35,136,0.2,1.1,0
9/18/2023,27.85,34.92,20.78,33.90754419,11.39793522,1.3,63.855,0,0,0.35,136,0.2,1.1,0
9/19/2023,27.12,34.08,20.16,34.10644505,8.76119734,1.38,70.73,0,12.19,0.35,136,0.2,1.1,0
9/20/2023,27.23,34.79,19.67,34.30449425,10.44386686,1.63,67.525,0,0,0.35,136,0.2,1.1,0
9/21/2023,26.045,33.01,19.08,34.50162281,9.3627436,1.69,63.185,0,0,0.35,136,0.2,1.1,0
9/22/2023,27.785,35.31,20.26,34.69776301,11.24942994,1.58,63.405,0,0,0.35,136,0.2,1.1,0
9/23/2023,28.79,36.14,21.44,34.8928484,10.62529678,1.67,61.805,0,0,0.35,136,0.2,1.1,0
9/24/2023,28.685,36.3,21.07,35.08681387,11.09225152,1.52,63.35,0,0,0.35,136,0.2,1.1,0
9/25/2023,30.65,38.31,22.99,35.27959572,11.41273294,2.04,56.86,0,0,0.35,136,0.2,1.1,0
9/26/2023,29.91,38.25,21.57,35.47113163,10.38654148,1.96,62.445,0,0,0.4,136,0.2,1.1,0
9/27/2023,30.975,38.76,23.19,35.6613608,10.26490514,2.39,65.375,0,0,0.4,136,0.2,1.1,0
9/28/2023,24.84,33.39,16.29,35.8502239,6.9158103,3.71,79.875,0,13.97,0.4,136,0.2,1.1,0
9/29/2023,19.405,22.71,16.1,36.03766316,7.41174056,1.95,81.735,0,0,0.4,136,0.2,1.1,0
9/30/2023,23.43,29.06,17.8,36.22362239,8.70945124,1.59,79.55,0,0,0.4,136,0.2,1.1,0
10/1/2023,26.095,32.73,19.46,36.40804701,10.10835238,1.86,77.205,0,36.83,0.4,136,0.2,1.1,0
10/2/2023,22.685,25.81,19.56,36.59088409,4.191038614,1.55,91.05,0,0,0.4,136,0.2,1.1,0
10/3/2023,23.625,28.09,19.16,36.77208235,4.655272594,1.45,87.88,0,0,0.4,136,0.2,1.1,0
4/10/2023,25.535,30.27,20.8,36.95159222,7.3229772,2.38,84.5,0,0,0.4,135,0.2,1.1,0
5/10/2023,26.135,32.19,20.08,37.12936584,5.87991824,2.47,80.155,0,10.67,0.4,135,0.2,1.1,0
6/10/2023,26.465,32.59,20.34,37.30535706,7.2911202,1.48,81.83,0,9.65,0.4,135,0.2,1.1,0
7/10/2023,28.01,33.69,22.33,37.4795215,9.67276674,2.32,79.295,0,0,0.4,135,0.35,0.7,0
8/10/2023,26.045,31.5,20.59,37.65181656,3.987355288,1.99,83.425,0,45.97,0.4,135,0.35,0.7,0
9/10/2023,24.78,30,19.56,37.82220136,5.78987486,2.2,86.355,0,53.85,0.4,135,0.35,0.7,0
